id,region,roomname,price,info
270,솔뫼,악어원룸,♡악어원룸♡ ♡내집같이 마음이 편안한 악어원룸♡,
155,솔뫼,원더랜드,,
169,솔뫼,큐브885,,
135,솔뫼,하이델베르크,,
266,솔뫼,스페인원룸,풀옵션/깨끗/저렴,
157,논골,베이스캠프,안동대학교 바로 아래 위치(논골),
173,솔뫼,그리스원룸,햇빛 좋고 조용하고 공부 잘 되는 원룸,
281,솔뫼,원더랜드,남한의  풀옵션,
233,솔뫼,스터디원룸,,
181,솔뫼,송강원룸,,
279,논골,봉숙이원룸,인문대에서 5분거리 깔끔하고 조용한 원룸,
170,논골,논골,안동대쓰리룸 안동대투룸 송일 투룸 최고급형,
271,솔뫼,경래원룸,경래원룸 안내,
203,솔뫼,프렌즈원룸,,
177,솔뫼,성균관원룸,"솔뫼, 조용하고 생활하기 아주 편리한 타운형 성균관 원룸",
218,솔뫼,햇살마루,,
161,솔뫼,도산하우스,,
183,논골,해오름빌,"최소5평부터, 큰 방도 있습니다. 500MB 초고속 인터넷 완비, 문의주세요",
280,논골,한누리1차,깨끗한 풀옵션 관리비없음,
141,솔뫼,반석,,
153,논골,코스모스빌,,
260,솔뫼,독일마을,"도시가스, 풀옵션, 신축, cctv, 주차장",
264,솔뫼,피카소원룸,,
129,논골,A+,,
276,논골,장도뚝배기원룸,,
220,솔뫼,PM,,
219,솔뫼,AM,,
258,솔뫼,원더랜드,행복가득 햇살가득,
278,솔뫼,코지빌,솔뫼 가성비 원룸 코지빌,
132,논골,한누리원룸,풀옵션 논골 신축 원룸,
162,솔뫼,솔뫼오피스텔,,
175,솔뫼,청학동원룸,,
251,솔뫼,히트원룸,,
149,솔뫼,광개원룸,,
262,논골,논골cu편의점2층,사범대학1분,
134,솔뫼,햇살가득,"깨끗한 원룸, 가격문의, 성실상담 지금바로 전화주세요.",
254,솔뫼,더바삭,아름다운 정원이 있는 조용한원룸,
160,솔뫼,ㄷ자,,
253,솔뫼,피치콜,,
274,솔뫼,솔뫼사랑원룸,190/10,
152,솔뫼,카카오하우스,관리인 상주로 빠른 피드백은 물론 학생들이 더욱 안심하고 생활할 수 있어요!,
263,솔뫼,블루원룸,조용하고 아늑하고 학교와 가까운 원룸,
148,솔뫼,해피하우스,,
261,솔뫼,프랑스원룸,"신축, 풀옵션",
250,솔뫼,해뜰원룸,,
269,논골,모닝빌,신축 원룸 쾌적한 풀옵션,
143,솔뫼,원더랜드,,
267,솔뫼,옐로우,공부하기 좋아요,
273,솔뫼,독일마을,,
164,논골,E-LIFE,,
234,솔뫼,아삶공,"풀옵션(전자레인지,키큰 냉장고,쿡탑,에어컨, 세탁기,...)가전제품과 붙박이장, 수납 가능한 서랍형 침대, 거울달린 키큰 신발장 등",
224,솔뫼,totoro,,
282,논골,한누리원룸,"논골계단 도보1분! 풀옵션 원룸. 층별 CCTV, 출입문 전자도어 완비!",
172,솔뫼,엄지빌,,
259,솔뫼,명륜당원룸,최고의 원룸,
242,논골,한마음원룸,가성비 최고! 조용하고 혼자 거주 가능한 편한 방,
189,솔뫼,양지원룸,,
222,논골,드림빌,,
247,논골,에버빌,,
248,솔뫼,명륜빌,최신/풀옵션/임대문의,
277,솔뫼,스위스원룸,안동대 후문 도보 1분,
275,솔뫼,비타민A동,도시가스(개별난방),
184,솔뫼,거성원룸,,
202,솔뫼,봄날원룸,,
137,솔뫼,오렌지,,
176,솔뫼,비타민원룸,,
131,솔뫼,한아름,,
142,솔뫼,독일마을,풀옵션으로 다되어있구요. 조용하기 때문에 참좋아요.,
236,논골,추억원룸,,
