name,info
논골 파나몬스 안동대본점,"
주소 경북 안동시 논골길 52 
전화문의 054-822-6220
식당종류 컵밥&도시락
영업시간 10:00~22:00
주차여부 유

"
솔뫼 카페 봄봄 안동대점,"커피, 버블티, 스무디, 티, 라떼, 에이드, 주스 등
주소 경북 안동시 송천2길 87 
전화문의 054-821-0604
식당종류 패스트푸드
영업시간 10:000~21:00
주차여부 유

"
솔뫼 솔뫼국밥,"돼지국밥, 순대국밥, 냉쫄면 등
주소 경북 안동시 송천1길 146-15 
전화문의 010-8587-7644
식당종류 한식
영업시간 00:00~00:00
정기휴무 매주 월요일
주차여부 유

"
솔뫼 커피킹,"커피, 티, 에이드, 과일쥬스, 프라페, 쉐이크, 스무디
주소 경북 안동시 송천1길 140 
전화문의 010-9241-9699
식당종류 패스트푸드
영업시간 00:00~00:00

"
솔뫼 별다방,"커피, 라떼, 버블티, 에이드, 스무디, 과일쥬스, 디저트, 에디션
주소 경북 안동시 송천1길 140 
전화문의 054-900-0097
식당종류 패스트푸드
영업시간 00:00~00:00
주차여부 유

"
솔뫼 피치콜,"
주소 경북 안동시 송천1길 105 
전화문의 054-822-1472
식당종류 패스트푸드
영업시간 12:00~02:40

"
솔뫼 지지고,"나이스라이스, 누들누들, 만두국, 만두만, 더비라이스
주소 경북 안동시 송천2길 84-48 
전화문의 054-821-5779
식당종류 컵밥&도시락
영업시간 ~
주차여부 유

"
솔뫼 종이밥,"스팸밥, 짜볶밥, 폭탄밥, 비빔밥, 간장밥, 콩불밥, 김볶밥
주소 경북 안동시 송천1길 142 
전화문의 054-823-0004
식당종류 컵밥&도시락
영업시간 ~

"
솔뫼 떡볶이포차 분식센터,"떡볶이, 순대, 제육볶음, 오뎅, 튀김, 쫄면 등
주소 경북 안동시 송천2길 90 
전화문의 054-823-5888
식당종류 분식
영업시간 11:30~01:00

"
솔뫼 만찐두빵,"라면, 만두, 볶음밥, 국수
주소 경북 안동시 송천1길 120 
전화문의 010-9938-7972
식당종류 분식
영업시간 ~

"
솔뫼 신전떡볶이 안동대점,"안동 안동대 맛집/밥집: 매운 떡볶이 <신전떡볶이>
주소 경북 안동시 송천1길 100 1층 
전화문의 054-822-9395
식당종류 분식
오픈일 2020.08.01
영업시간 ~
주차여부 유

"
논골 이삭토스트,"딥치즈 베이컨3,500원트리플소세지 토스트4,400원핫치킨MVP3,700원딥치즈 베이컨 포테이토4,100원베이컨 포테이토 피자4,500원베이컨 치즈 베이글3,900원베이컨베스트3,300원칠리새우3,900원피자3,900원불갈비 MVP3,900원불고기 MVP3,500원스테이크햄 VIP3,300원햄스페셜2,900원감자3,100원햄치즈2,600원햄치즈 포테이토3,300원새우토
주소 경북 안동시 논골길 49 
전화문의 054-821-2062
식당종류 분식
영업시간 ~

"
솔뫼 빅싸이즈 감자탕,"
주소 경북 안동시 논골길 50 
전화문의 054-823-1788
식당종류 한식
영업시간 ~
웹사이트 [안동대 주변] 안동 빅싸이즈 감자탕 '라면사.. : 네이버블로그 (naver.com)

"
논골 검정고무신 쪼다,"
주소 경북 안동시 논골길 50 
전화문의 054-823-3331
식당종류 한식
영업시간 ~

"
솔뫼 솔뫼찜닭,"솔뫼찜닭, 카레찜닭, 치즈찜닭
주소 경북 안동시 송천1길 146-17 
전화문의 054-823-1775
식당종류 한식
영업시간 ~
웹사이트 [안동맛집/솔뫼찜닭]솔뫼찜닭 치즈토핑 라면사리.. : 네이버블로그 (naver.com)

"
솔뫼 스마일마라탕,"마라탕, 마라샹궈, 꿔보러워, 향라새우, 볶음밥
주소 경북 안동시 송천1길 115 
전화문의 054-823-6888
식당종류 중식
영업시간 ~
주차여부 유

"
솔뫼 안동대짬뽕,"짜장면, 간짜장, 불짜장, 우동, 짬뽕, 볶음밥
주소 경북 안동시 송천1길 146-13 
전화문의 054-822-2800
식당종류 중식
영업시간 ~
주차여부 유

"
솔뫼 아삶공 레스&호프,"앤칠라다, 인도커리, 덮밥, 나시고링, 볶음밥
주소 경북 안동시 송천2길 78-5 
전화문의 054-822-8182
식당종류 양식
영업시간 ~

"
솔뫼 피오르달리조,"안동대 맛집 : 피오르달리조
주소 경북 안동시 송천2길 72-29 
전화문의 054-823-8778
식당종류 양식
영업시간 ~
주차여부 유

"
