name,info
솔뫼 솔뫼오피스텔,"
소재지 경북 안동시 송천3길 12-17 
전화문의 010-3478-5820 
준공연도 0000
층수 3
난방 개별난방

"
솔뫼 햇살가득,"깨끗한 원룸, 가격문의, 성실상담 지금바로 전화주세요.
소재지 경북 안동시 송천1길 145-22 
전화문의 010-7448-1656 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 광개원룸,"
소재지 경북 안동시 송천2길 72-25 
전화문의 010-5474-6197 
층수 4
난방 개별난방
주차여부 유

"
솔뫼 카카오하우스,"관리인 상주로 빠른 피드백은 물론 학생들이 더욱 안심하고 생활할 수 있어요!
소재지 경북 안동시 송천3길 73-1 
전화문의 010-4605-2108 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
논골 에버빌,"
소재지 경북 안동시 논골길 8 
전화문의 010-3529-5143 
층수 1
방 수 10개
난방 개별난방
주차여부 유

"
논골 모닝빌,"신축 원룸 쾌적한 풀옵션
소재지 경북 안동시 논골길 71-8 모닝빌
전화문의 01038241030 
대지/건물 389m²/329.48m²
준공연도 2014
층수 3
방 수 16개
난방 개별난방
주차여부 유

"
논골 논골cu편의점2층,"사범대학1분
소재지 송천동 논골길43
전화문의 010-8509-4378 , 010-8583-4378
난방 개별난방
주차여부 유

"
솔뫼 원더랜드 앨리스,"
소재지 경북 안동시 송천3길 54-17 
전화문의 010-3468-4442 
준공연도 2013
층수 3
방 수 18개
난방 개별난방
주차여부 유

"
솔뫼 엄지빌,"
소재지 경북 안동시 송천길 155 
전화문의 010-9035-3081 
층수 3
방 수 18개
난방 개별난방
주차여부 유

"
논골 코스모스빌,"
소재지 안동시 논골길 26 
전화문의 010-8987-5838 
층수 4
방 수 9개
난방 개별난방

"
솔뫼 아삶공 원룸,"풀옵션(전자레인지,키큰 냉장고,쿡탑,에어컨, 세탁기,...)가전제품과 붙박이장, 수납 가능한 서랍형 침대, 거울달린 키큰 신발장 등
소재지 경북 안동시 송천2길 78-5 
전화문의 010-5538-8276 
층수 3
난방 개별난방

"
솔뫼 오렌지,"
소재지 경북 안동시 송천1길 103 
전화문의 010-4065-9973 
층수 3
난방 개별난방
주차여부 유

"
논골 봉숙이원룸,"인문대에서 5분거리 깔끔하고 조용한 원룸
소재지 경북 안동시 논골길 71-6 한누리원룸 2차 C동
전화문의 010-3255-3486 , 010-8565-2277
층수 3
방 수 16개
난방 개별난방
주차여부 유

"
논골 장도뚝배기원룸,"
소재지 경북 안동시 논골길 45 
전화문의 01065228541 
층수 2
방 수 7개
난방 개별난방
주차여부 유

"
솔뫼 솔뫼사랑원룸,"190/10
소재지 경북 안동시 송천동 893-1 
전화문의 01083515425 
대지/건물 128m²/128m²
층수 2
방 수 12개
난방 개별난방

"
논골 해오름빌,"최소5평부터, 큰 방도 있습니다. 500MB 초고속 인터넷 완비, 문의주세요
소재지 경북 안동시 논골길 110 
전화문의 010-2302-7228 
층수 3
방 수 20개
난방 개별난방

"
솔뫼 피치콜 원룸,"
소재지 경북 안동시 송천1길 105 
전화문의 010-4828-0500 
층수 2
방 수 14개
난방 개별난방
주차여부 유

"
솔뫼 해뜰원룸,"
소재지 경상북도 안동시 송천1길 87 
전화문의 010-4814-0571 
난방 개별난방

"
솔뫼 스페인원룸,"풀옵션/깨끗/저렴
소재지 경북 안동시 송천동 898-7 
전화문의 01032285908 , 01056445908
난방 개별난방
주차여부 유

"
솔뫼 블루원룸,"조용하고 아늑하고 학교와 가까운 원룸
소재지 경북 안동시 송천1길 43-35 
전화문의 010-2707-3189 
층수 4
방 수 11개
난방 개별난방
주차여부 유

"
솔뫼 하이델베르크,"
소재지 경북 안동시 송천길 130 
전화문의 010-9267-6122 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 더바삭 원룸,"아름다운 정원이 있는 조용한원룸
소재지 경북 안동시 송천1길 102 
전화문의 010-6789-7188 , 010-6655-7188
층수 3
난방 개별난방
주차여부 유

"
솔뫼 스위스원룸,"안동대 후문 도보 1분
소재지 경북 안동시 송천1길 145-16 
전화문의 01022265655 , 01090591866
층수 3
방 수 1개
난방 개별난방

"
논골 한누리원룸,"풀옵션 논골 신축 원룸
소재지 경북 안동시 논골길 71-1 
전화문의 010-2880-1219 
층수 3
난방 개별난방

"
솔뫼 ㄷ자 원룸,"
소재지 경북 안동시 송천1길 127 
전화문의 010-8592-1089 
층수 2
난방 개별난방
주차여부 유

"
솔뫼 코지빌,"솔뫼 가성비 원룸 코지빌
소재지 경북 안동시 송천1길 36-1 코지빌
전화문의 010-7246-1705 
난방 개별난방

"
솔뫼 경래원룸,"경래원룸 안내
소재지 경북 안동시 송천1길 135 
전화문의 01066890951 , 01034840951
난방 개별난방

"
솔뫼 원더랜드 엘사,"행복가득 햇살가득
소재지 안동시 송천동 송천3길 54-12 
전화문의 01035985877 , 01059475877
방 수 15개
난방 개별난방
주차여부 유

"
솔뫼 독일마을 A동,"도시가스, 풀옵션, 신축, cctv, 주차장
소재지 경북 안동시 송천동 348-5 독일마을 A동
전화문의 01034463564 , 01034463453
층수 3
방 수 17개
난방 개별난방
주차여부 유

"
솔뫼 성균관원룸,"솔뫼, 조용하고 생활하기 아주 편리한 타운형 성균관 원룸
소재지 경북 안동시 송천2길 73-12 
전화문의 010-2172-8900 , 010-4539-9079
층수 4
방 수 19개
난방 개별난방
주차여부 유

"
솔뫼 독일마을 B동,"
소재지 경북 안동시 송천길 137-8 
전화문의 01096965705 , 01035385610
난방 개별난방
주차여부 유

"
솔뫼 도산하우스,"
소재지 경북 안동시 송천3길 65 
전화문의 010-8997-3972 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 PM 7원룸,"
소재지 경상북도 안동시 송천동 859-8 
전화문의 010-9599-4148 
준공연도 0000
층수 3
난방 개별난방
주차여부 유

"
솔뫼 독일마을 C동,"풀옵션으로 다되어있구요. 조용하기 때문에 참좋아요.
소재지 경북 안동시 송천길 137-10 
전화문의 010-4518-0286 
층수 3
난방 개별난방
주차여부 유

"
