name,info
하회마을코스 부용대,"태백산맥의 맨 끝부분에 해당하며 정상에서 마을 전체를 조망할 수 있는 하회마을 관광 백미 중의 하나로 부용대라는 이름은 중국 고사에서 따온 것으로 부용은 연꽃을 뜻한다. 처음에는 북애(北厓)라 했는데, 이는 하회의 북쪽에 있는 언덕이라는 뜻이다. 아래로 낙동강이 굽이쳐 흐르는 곳에 옥연정사, 겸암정사, 화천서원이 자리하고 있다.
대표번호 054-853-0109 
주소 안동시 풍천면 광덕솔밭길 72 
구분 하회마을코스

"
하회마을코스 화천서원,"문경공(文敬公) 겸암(謙菴) 류운룡(柳雲龍) 선생(先生)의 학덕을 기려서 유림들이 현 위치에 세운 서원이다. 정조10년(1786)에 건립하여 9월에 겸암 선생의 위패를 봉안하고 제자인 동리(東籬) 김윤안(金允安, 1560～1620)공과 종손자(從孫子)인 졸재(拙齋) 류원지(柳元之, 1598～1674)공을 배향시켜 100여 년 이상 춘추로 향사를 지내오다가 대원군 서원철폐령에 의해 훼철되었다. 서원의 훼철을 아쉬워하던 후손들은 1966년부터 기금을 모아 사림들의 공론으로 1996년 5월 2일 복설 고유를 거행했다.
주소 안동시 풍천면 광덕솔밭길 72 
구분 하회마을코스
주차여부 유

"
하회마을코스 옥연정사,"이 건물은 1586년(선조 19) 서애 류성룡(西厓 柳成龍)이 평소 밀접하게 지내던 탄홍(誕弘)스님의 도움으로 지어 문중 자제의 교육과 내객과의 담론을 나누던 서애의 별서이다. 마을 화천(花川) 건너편 부용대(芙蓉臺)의 우측 아래쪽에 동남향하고 있다.
대문채·안채·별당채·사랑채가 오른쪽으로부터 차례로 배치되어 있다. 일반적으로 대문채와 사랑채가 근접해 있는데 비해 여기서는 멀리 두었다. 이는 주로 하회에서 나룻배를 타고 건너와 사랑채 쪽으로 출입을 했기 때문이라 한다. 반대편 광덕 마을쪽에서 들어올 경우 이용되는 대문채는 6칸 一자형으로 좌측에서 두 번째 칸에 대문이 나있다.
대표번호 054-854-2202 
주소 안동시 풍천면 광덕솔밭길 86 
구분 하회마을코스
주차여부 유

"
하회마을코스 하회마을,"조선 시대의 성리학자인 겸암 류운룡 선생, 서애 류성룡 선생의 출신 고장으로 유명한 이 곳은 대대로 풍산류씨가 살아 오는 동성부락이다. 낙동강물이 흐르다가 이 지역에서 마을을 감싸 돌면서 흐른다고 하여 ′하회′라는 지명이 붙었다. 별신굿탈놀이와 하회탈이 유명한 마을이다.
마을 전체가 중요민속자료로 지정되어 있을 뿐만 아니라, 보물로 지정된 입암고택(사랑채 : 고려양식, 안채 : 이조양식, 불천위 사당 : 2채)과 충효당(경내에는 영모각이 있음.)을 비롯하여 중요민속자료로 지정된 고택과 정사들, 서낭당, 정려각, 노거수 등이 있음.

이 마을은 조선 전기 이후의 전통적인 가옥군, 영남의 명기(名基)라는 풍수적 경관, 오랜 역사적 배경, 별신굿과 같은 민간전승 등이 잘 보존된 민속마을이다. 전국유수의 풍산 류씨 동성촌락이며, 그 터전은 낙동강의 넓은 강류가 마을 전체를 동·남·서 세방향으로 감싸도는 명기이다.
대표번호 054-854-3669 
주소 안동시 풍천면 하회남촌길 63 
구분 하회마을코스
요금 일반 개인 : 5,000원, 청소년 : 2,500원, 어린이 : 1,500원
일반 단체 : 4,000원, 청소년 : 2,000원, 어린이 : 1,200원
안동시민 개인 : 1,000원, 청소년 : 500원, 어린이 : 400원
안동시민 단체 : 900원, 청소년 : 400원, 어린이 : 300원
이용시간 하절기09

"
하회마을코스 하회세계탈박물관,"하회세계탈박물관은 탈 전문박물관으로 중요민속자료 제122호로 지정된 하회마을 입구에 1995년 개관 하였다. 탈박물관은 하회별신굿탈놀이에 사용되는 하회탈 뿐만 아니라 우리나라의 모든 탈들을 한자리에 일목요연하게 볼 수 있도록 전시하고 있다. 또한 세계 각국의 중요한 탈들을 수집하여 한국탈과 비교하여 볼 수 있도록 전시하고 있다. 240평의 전시실은 한국관, 아시아관, 세계관, 특별전시관으로 이루어져 있다.
대표번호 054-853-2288 
주소 안동시 풍천면 전서로 206 
구분 하회마을코스
요금 무료관람
이용시간 개장시
주차여부 유
웹사이트 http://tal.or.kr

"
하회마을코스 병산서원,"병산서원은 조선시대의 대표적인 유교적 건축물로서, 류성룡과 그의 셋째아들 류진을 배향한 서원이다. 병산서원의 전신은 풍산현에 있던 풍악서당으로, 고려말부터 사림들의 학문의 전당으로 1614년 서애 류성룡 선생의 학덕을 기리기 위해 존덕사를 창건하여 위패를 봉안했다. 1868년 대원군 서원 철폐령이 내려졌을 때 그 대상에서 제외된 전국 47개, 안동 2개소 중 한 곳이다. 3월과 9월 초정일(初亭日)에 향사하고 있다.
대표번호 054-858-5929 
주소 안동시 풍천면 병산길 386 
구분 하회마을코스
요금 무료관람
주차여부 유
웹사이트 http://www.byeongsan.net

"
하회마을코스 안동한지 체험관,"안동한지전시관은 한지를 생산하는 기업체 ‘안동한지’에서 한지에 관한 모든 것을 보고 느끼며 체험할 수 있는 다양한 볼거리를 제공하기 위하여 2000년 4월, 한지체험장과 함께 풍산읍 소산리에 건립하였다.
안동한지전시관은 안동의 풍부한 물과 우리나라에서 생산되는 닥나무를 원료로 하여 노련한 기술자의 투철한 장인 정신으로 한지를 전통 방법으로 생산하여 전시하며 체험하는 곳으로, 학습의 장과 다양한 볼거리를 제공하여 안동의 관광 명소로 발돋움하고 있다.
안동한지상설전시관은 한지전시판매장, 상설전시관, 심우체험 작품관으로 구성되어 있다. 한지전시판매장에서는 한지 제작 공장과 안동한지 공장에서 생산된 70여 가지의 한지를 전시·판매하고 있다. 상설전시관에서는 닥종이를 원료로 하여 만든 전통 한지 공예품, 닥종이 인형, 지승 공예, 한지 패션, 서예 작품을 감상하고 구매할 수 있다. 심우체험작품관에서는 한지 탈 만들기, 한지 문양 넣기, 선비 갓 만들기, 옛날 책 만들기를 체험할 수 있다. 특히, 안동 한지를 통해 단아하면서도 고급스러운 멋을 추구했던 조상들의 삶과 함께 물건을 생산하는 것에 쏟았던 노력과 인내를 확인 할 수 있다.
현재 체험 행사로는 공장 견학, 한지 체험(한지뜨기), 한지탈 만들기, 전통오색한지 공예품 만들기, 채색판화 등이 있다. 안동한지공장에서는 질 좋은 닥종이를 엄선하여 전통적인 방법 그대로의 제조법을 고집하고 있어 질 좋은 한지를 구입할 수 있다. 그리고 한지공예작가인 권영순 선생의 유천미술관을 관람할 수 있다. 또한 최근까지 안동한지축제가 열려 안동한지의 우수성을 대내외에 알리는 한 편 안동시민 및 방문객들에게 다양한 볼거리와 체험거리를 제공하여 지역 문화 및 특산물 발전에 기여하고 있다.
대표번호 054-858-7007 
주소 안동시 풍산읍 나바우길 13 
구분 하회마을코스
요금 무료관람
이용시간 09:00~18:00
주차여부 유
웹사이트 http://www.andonghanji.com

"
도산서원코스 안동 선비순례길,"안동호의 절경과 다양한 유교문화유적을 함께 즐길 수 있는 길이 91km, 9개 코스의 자연친화적인 탐방로이다. 코스 내에 물 위를 걸을 수 있는 선성수상길과 함께 도산서원과 이육사문학관을 비롯하여 고택 등 다양한 볼거리가 있어 천천히 걸으며 힐링관광 할 수 있는 최적의 장소이다.
대표번호 054-843-0010 
주소 안동시 도산면 선성5길 8 
구분 도산서원코스
요금 무료관람
주차여부 유

"
도산서원코스 안동호반자연휴양림,"안동호반자연휴양림은 빼어난 자연경관과 인근 도산서원, 유교문화박물관, 이육사문학관, 청량산도립공원등과 어울려져 휴가철 피서지로 큰 각광을 받고 있습니다.
또한 주변에 산림과학박물관, 생태숲, 야생동물생태공원 등이 있어 볼거리가 많고 이들과 연계되어 산림문화 체험장 역할을 할 것입니다.
안동호반 자연휴양림은 건축형식에 따라 전통가옥 지구, 숲속의집 지구, 산림휴양관 지구로 나누어 조성되고 있습니다.
대표번호 054-840-8265 
주소 안동시 도산면 퇴계로 2150-28 
구분 도산서원코스
요금 숙박요금 홈페이지 참고
주차여부 유
웹사이트 http://huyang.gb.go.kr

"
도산서원코스 유교문화박물관,"한국국학진흥원의 부속기관인 유교문화박물관은 우리의 우수한 전통문화를 국내외에 알리고, 또 이를 토대로 국학자료의 기탁을 활성화하려는 목적에서 설립된 국내 유일의 ‘유교' 전문박물관이다. 한국국학진흥원이 개별 문중이나 서원 등 민간으로부터 기탁받아 소장하고 있는 국학자료들 가운데 문화재적 가치가 높은 것들을 엄선하여 전시하고 있다.
대표번호 054-851-0800 
주소 안동시 도산면 퇴계로 1997 
구분 도산서원코스
이용시간 09:00~17:30
주차여부 유

"
